date,weather_code,temperature_2m_max  (°C),temperature_2m_min  (°C),temperature_2m_mean  (°C),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (mm),precipitation_hours (hour),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h)
2000-01-01,51.0,12.841,6.491,9.49725,35240.28,29380.857,0.3,0.3,0.0,1.0,22.862125,39.239998
2000-01-02,53.0,12.540999,7.541,9.730584,35278.86,31600.023,2.5,2.5,0.0,6.0,23.177402,44.639996
2000-01-03,3.0,13.891,8.540999,10.686835,35320.746,31651.047,0.0,0.0,0.0,0.0,16.055353,29.88
2000-01-04,2.0,14.240999,5.191,9.376416,35365.832,31703.68,0.0,0.0,0.0,0.0,11.988594,24.84
2000-01-05,2.0,14.341,6.991,10.193084,35414.023,31757.799,0.0,0.0,0.0,0.0,11.570515,21.24
2000-01-06,3.0,14.240999,7.6410003,10.665999,35465.23,31813.277,0.0,0.0,0.0,0.0,12.397806,22.68
2000-01-07,51.0,14.091,7.3910003,10.334751,35519.35,28885.824,0.5,0.5,0.0,2.0,7.289445,15.84
2000-01-08,2.0,14.941,5.1410003,9.588916,35576.297,31927.795,0.0,0.0,0.0,0.0,10.182337,18.359999
2000-01-09,2.0,14.490999,2.7410002,8.780583,35635.957,31992.922,0.0,0.0,0.0,0.0,10.028439,16.919998
2000-01-10,51.0,14.341,6.541,9.934751,35698.25,32046.207,0.5,0.5,0.0,4.0,8.534353,16.919998
2000-01-11,53.0,13.740999,6.341,9.299334,35763.07,32106.555,0.9,0.9,0.0,2.0,9.793058,20.16
2000-01-12,3.0,13.191,5.191,9.059751,35830.33,32167.488,0.0,0.0,0.0,0.0,17.287498,29.16
2000-01-13,0.0,13.290999,4.791,8.947251,35899.926,32233.61,0.0,0.0,0.0,0.0,12.783802,25.199999
2000-01-14,0.0,14.790999,2.891,8.716,35971.766,32294.605,0.0,0.0,0.0,0.0,8.766573,17.64
2000-01-15,1.0,15.941,2.191,8.801417,36045.758,32392.75,0.0,0.0,0.0,0.0,10.086427,14.759999
2000-01-16,2.0,14.441,7.041,10.118083,36121.805,32401.904,0.0,0.0,0.0,0.0,25.233404,43.56
2000-01-17,3.0,15.141,7.441,10.763917,36199.824,32441.537,0.0,0.0,0.0,0.0,29.01966,50.76
2000-01-18,51.0,15.441,7.041,10.909749,36279.855,26107.742,0.90000004,0.90000004,0.0,5.0,22.392464,37.079998
2000-01-19,55.0,12.240999,9.091,10.653501,36362.777,21174.5,6.799999,6.799999,0.0,17.0,26.368616,40.68
2000-01-20,51.0,12.141,5.941,9.440999,36448.63,30739.139,1.0,1.0,0.0,6.0,10.799999,19.08
2000-01-21,3.0,14.391,5.841,9.457666,36537.27,31870.584,0.0,0.0,0.0,0.0,16.394829,32.039997
2000-01-22,51.0,15.990999,4.291,9.320167,36628.535,29894.89,0.1,0.1,0.0,1.0,26.66188,48.239998
2000-01-23,2.0,13.591,6.441,9.426417,36722.277,32496.363,0.0,0.0,0.0,0.0,22.565422,42.48
2000-01-24,3.0,13.540999,4.8910003,9.195167,36818.36,32400.0,0.0,0.0,0.0,0.0,15.03835,24.84
2000-01-25,51.0,15.691,6.291,11.063918,36916.625,32498.586,0.1,0.1,0.0,1.0,13.679999,23.039999
2000-01-26,51.0,14.941,8.740999,11.601417,37016.934,32400.0,0.5,0.5,0.0,4.0,11.542478,20.880001
2000-01-27,3.0,17.291,8.641,11.836831,37119.145,29532.13,0.0,0.0,0.0,0.0,20.60823,35.28
2000-01-28,3.0,17.241,5.1410003,11.080583,37223.113,32667.273,0.0,0.0,0.0,0.0,11.183201,21.96
2000-01-29,3.0,17.691,8.790999,12.532665,37328.707,32571.51,0.0,0.0,0.0,0.0,22.380884,39.239998
2000-01-30,2.0,17.541,9.740999,12.784748,37435.793,32904.613,0.0,0.0,0.0,0.0,14.986553,29.16
2000-01-31,3.0,20.441,4.791,12.226417,37544.234,32813.473,0.0,0.0,0.0,0.0,9.346143,16.199999
2000-02-01,3.0,20.341,5.791,12.395165,37653.902,32742.254,0.0,0.0,0.0,0.0,8.350138,11.879999
2000-02-02,3.0,18.341,9.191,13.613915,37764.668,32922.477,0.0,0.0,0.0,0.0,20.61766,37.079998
2000-02-03,51.0,16.341,11.540999,13.4535,37876.406,32946.754,0.2,0.2,0.0,2.0,30.500309,55.8
2000-02-04,1.0,14.441,8.841,11.936833,37988.996,33982.473,0.0,0.0,0.0,0.0,22.55106,37.8
2000-02-05,1.0,14.740999,5.791,9.951417,38102.316,33925.99,0.0,0.0,0.0,0.0,10.086427,21.24
2000-02-06,0.0,16.140999,4.091,9.978499,38216.242,34453.004,0.0,0.0,0.0,0.0,10.028439,22.319998
2000-02-07,3.0,16.741,8.141,12.049333,38330.82,30757.219,0.0,0.0,0.0,0.0,26.099379,47.88
2000-02-08,3.0,19.741,10.591,14.401416,38447.164,33913.875,0.0,0.0,0.0,0.0,29.810522,48.239998
