date,cloud_cover_max (%),cloud_cover_min (%),dew_point_2m_max (°C),dew_point_2m_min (°C),relative_humidity_2m_max (%),relative_humidity_2m_min (%),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h)
2000-01-01,89,2,5.8,2.6,86,60,16.2,8.6
2000-01-02,72,6,5.1,2.2,85,49,20.2,11.7
2000-01-03,47,24,7.0,3.4,81,63,19.4,10.7
2000-01-04,99,6,5.5,2.4,80,48,14.0,9.7
2000-01-05,62,13,7.3,3.4,90,58,8.6,5.7
2000-01-06,72,33,7.3,5.1,93,54,9.7,5.9
2000-01-07,92,48,8.8,6.1,94,59,11.5,7.4
2000-01-08,96,22,10.1,6.7,96,74,9.0,2.2
2000-01-09,69,3,6.9,1.1,95,39,13.0,5.4
2000-01-10,72,0,7.0,2.0,95,48,10.4,6.2
2000-01-11,67,17,8.7,5.9,98,57,9.7,4.5
2000-01-12,100,18,9.0,5.6,98,67,9.0,5.9
2000-01-13,95,13,7.3,4.6,97,58,11.9,8.6
2000-01-14,13,0,4.5,2.8,88,49,8.3,6.8
2000-01-15,1,0,5.9,2.4,97,45,7.9,2.5
2000-01-16,25,0,6.9,1.6,96,46,10.8,3.6
2000-01-17,58,0,6.4,3.9,92,49,15.5,8.6
2000-01-18,90,4,6.2,4.2,89,48,18.0,10.8
2000-01-19,99,1,8.5,3.9,87,52,19.1,11.1
2000-01-20,100,58,8.7,6.4,93,68,12.2,6.1
2000-01-21,100,0,8.2,2.2,94,51,8.6,5.9
2000-01-22,82,1,5.2,2.1,85,47,11.5,5.9
2000-01-23,94,0,5.3,2.3,88,41,17.6,11.0
2000-01-24,51,0,3.5,0.4,78,41,14.4,8.1
2000-01-25,86,20,7.3,2.8,87,49,12.2,2.3
2000-01-26,64,1,10.0,5.6,95,61,6.8,2.1
2000-01-27,84,0,10.0,8.1,96,69,10.8,5.3
2000-01-28,100,0,9.5,7.6,99,54,12.2,7.0
2000-01-29,94,0,9.4,4.2,95,54,10.1,5.1
2000-01-30,100,0,8.3,5.9,92,46,21.6,11.5
2000-01-31,51,3,10.0,6.3,87,55,7.9,2.2
2000-02-01,99,0,10.4,4.3,97,37,9.0,1.0
2000-02-02,100,0,10.1,5.6,99,40,6.8,1.5
2000-02-03,96,0,10.3,6.3,84,56,11.5,7.2
2000-02-04,78,2,10.5,5.4,90,62,29.5,15.8
2000-02-05,33,3,4.5,2.2,74,44,14.8,9.7
2000-02-06,42,0,5.9,4.3,92,50,7.6,1.5
2000-02-07,19,0,7.7,3.6,97,48,9.4,3.4
2000-02-08,100,3,7.6,4.4,93,44,14.8,8.4
2000-02-09,100,0,7.4,2.8,74,44,14.4,9.7
2000-02-10,88,5,5.9,0.6,72,45,46.1,27.0
2000-02-11,72,2,4.7,1.8,71,47,20.5,11.7
2000-02-12,100,1,7.5,3.1,88,40,13.3,1.1
2000-02-13,96,9,8.3,3.7,87,45,12.6,3.6
2000-02-14,99,0,7.7,5.4,80,48,13.3,8.2
2000-02-15,96,0,7.7,5.1,90,41,16.6,10.0
2000-02-16,91,0,7.6,2.6,82,30,11.5,5.8
2000-02-17,99,1,7.7,1.6,70,39,16.6,9.4
2000-02-18,92,0,7.4,0.7,78,37,18.7,10.1
2000-02-19,1,0,7.1,2.3,70,26,9.4,7.1
2000-02-20,88,0,7.7,3.6,81,39,11.9,7.4
2000-02-21,82,0,5.0,0.8,67,36,19.1,12.2
2000-02-22,95,0,6.5,0.7,83,35,14.8,7.2
2000-02-23,98,19,7.1,4.1,91,47,8.6,1.8
2000-02-24,43,10,7.5,2.3,92,48,19.1,12.7
2000-02-25,76,0,5.7,2.8,85,44,11.5,6.5
2000-02-26,0,0,8.6,1.9,88,32,8.6,0.4
2000-02-27,86,0,10.2,6.7,97,47,9.4,4.8
2000-02-28,100,0,10.6,7.9,99,51,5.4,0.7
2000-02-29,84,0,10.4,6.3,100,43,6.1,3.7
2000-03-01,84,0,10.4,-2.8,96,22,22.7,12.6
2000-03-02,31,0,5.9,-2.4,59,28,22.0,12.6
2000-03-03,1,0,4.2,0.8,69,34,13.3,1.6
2000-03-04,8,0,7.3,-4.1,77,17,10.4,1.3
2000-03-05,60,0,7.6,5.3,81,37,14.8,9.1
2000-03-06,68,0,9.9,6.6,93,49,15.5,8.9
2000-03-07,89,0,10.3,5.6,100,39,11.2,7.0
2000-03-08,90,0,10.2,7.2,94,45,13.0,3.7
2000-03-09,60,0,9.3,4.3,85,42,9.7,1.3
2000-03-10,15,0,8.0,3.2,95,31,8.6,1.3
2000-03-11,1,0,7.9,2.0,80,26,7.6,3.4
2000-03-12,19,0,9.8,4.4,78,27,7.2,2.5
2000-03-13,100,2,12.2,8.1,100,41,7.6,5.3
2000-03-14,100,73,12.6,9.6,98,52,9.4,4.9
2000-03-15,100,10,11.7,9.2,98,54,4.7,0.7
2000-03-16,89,4,11.1,6.3,96,45,7.6,4.3
2000-03-17,35,0,9.6,3.2,85,34,10.4,4.0
2000-03-18,78,0,9.8,1.5,84,27,7.9,3.7
2000-03-19,56,2,10.3,6.6,89,48,7.2,2.9
2000-03-20,95,34,10.6,9.0,93,63,18.7,11.5
2000-03-21,98,0,11.8,9.4,97,48,10.4,4.3
2000-03-22,71,0,12.7,10.9,98,58,14.4,8.2
2000-03-23,97,0,12.5,10.5,97,51,14.8,8.1
2000-03-24,99,2,12.6,10.7,98,46,13.7,9.0
2000-03-25,100,41,13.0,11.2,98,65,8.3,3.6
2000-03-26,89,3,12.7,9.3,93,53,13.0,6.1
2000-03-27,72,1,11.6,8.1,97,42,10.1,4.0
2000-03-28,100,18,12.3,8.0,85,44,15.5,7.6
2000-03-29,100,0,11.6,10.0,96,53,6.5,3.7
2000-03-30,100,0,10.6,6.7,97,37,7.2,1.0
2000-03-31,100,3,15.1,9.9,94,40,9.0,1.4
2000-04-01,95,0,13.2,8.5,96,45,13.0,5.6
2000-04-02,100,50,12.2,8.8,96,41,14.4,9.0
2000-04-03,95,0,12.2,3.3,75,17,19.8,9.1
2000-04-04,79,0,15.0,-2.5,88,12,16.9,5.8
2000-04-05,26,0,12.2,1.2,82,23,11.5,3.3
2000-04-06,73,0,9.4,2.1,75,32,13.7,0.7
2000-04-07,20,0,10.7,7.4,91,47,4.0,0.4
2000-04-08,100,1,10.4,6.9,87,45,11.5,6.6
2000-04-09,100,59,13.6,10.7,92,62,19.8,8.3
2000-04-10,96,4,12.7,11.3,91,55,6.8,5.1
2000-04-11,100,1,14.4,9.8,98,42,4.3,2.6
2000-04-12,86,0,11.0,7.2,85,39,19.8,9.2
2000-04-13,83,0,10.9,6.0,77,27,22.0,10.8
2000-04-14,44,0,12.2,6.0,72,25,21.2,7.6
2000-04-15,5,0,13.1,9.9,85,50,20.5,7.1
2000-04-16,2,0,12.9,9.2,95,33,9.7,6.4
2000-04-17,97,0,11.3,5.7,75,37,19.1,7.1
2000-04-18,89,0,7.7,3.2,70,28,34.9,19.0
2000-04-19,76,0,6.9,4.4,58,35,26.3,14.7
2000-04-20,35,1,10.5,5.2,77,31,19.4,12.5
2000-04-21,8,0,12.3,9.1,86,37,7.9,0.8
2000-04-22,0,0,12.1,9.1,93,32,9.0,3.6
2000-04-23,43,0,12.8,7.1,82,33,17.3,2.2
2000-04-24,39,0,10.3,4.6,73,32,13.3,7.3
2000-04-25,83,0,13.2,10.0,94,36,12.2,6.4
2000-04-26,71,0,14.1,11.5,96,36,10.4,6.6
2000-04-27,100,43,13.7,12.1,92,49,11.9,8.7
2000-04-28,99,1,13.5,9.9,86,49,29.5,5.4
2000-04-29,78,0,12.2,5.5,80,32,7.9,1.8
2000-04-30,26,0,12.2,8.4,97,41,4.3,0.4
2000-05-01,99,0,12.3,7.1,95,37,9.0,3.3
2000-05-02,40,0,13.3,8.6,98,40,6.5,1.9
2000-05-03,17,0,13.3,8.2,89,34,7.6,3.9
2000-05-04,3,0,15.3,11.6,94,42,5.0,3.3
2000-05-05,71,0,15.7,9.8,98,37,12.6,8.3
2000-05-06,84,0,15.6,13.6,93,46,11.9,9.6
2000-05-07,100,3,16.3,14.1,87,46,14.0,9.6
2000-05-08,83,2,16.4,15.3,95,42,10.8,2.5
2000-05-09,100,42,16.0,14.5,91,47,13.0,7.2
2000-05-10,100,41,16.8,15.5,81,43,14.0,6.2
2000-05-11,100,63,16.8,15.0,88,47,8.6,5.4
2000-05-12,100,25,16.5,13.9,91,45,11.5,5.2
2000-05-13,100,91,16.1,13.1,96,39,7.2,2.1
2000-05-14,99,2,16.0,13.8,95,45,9.7,4.7
2000-05-15,39,0,16.9,15.1,96,53,5.4,1.5
2000-05-16,100,0,17.0,11.4,100,39,4.3,3.1
2000-05-17,100,6,17.2,10.4,99,36,6.8,4.6
2000-05-18,100,0,16.6,13.8,92,41,12.6,7.4
2000-05-19,36,0,16.9,13.2,96,45,8.3,4.7
2000-05-20,73,0,15.7,12.4,94,37,4.7,0.8
2000-05-21,100,5,17.3,11.8,65,26,11.9,4.3
2000-05-22,100,12,17.5,15.9,83,47,10.4,5.4
2000-05-23,100,84,17.7,14.0,87,43,11.2,1.9
2000-05-24,100,35,17.6,16.2,92,62,5.4,1.3
2000-05-25,100,61,18.5,16.6,96,59,3.6,1.5
2000-05-26,100,65,18.9,15.8,99,68,14.8,6.5
2000-05-27,100,20,16.7,14.5,87,61,16.9,10.4
2000-05-28,32,0,17.1,14.5,94,52,10.4,4.7
2000-05-29,78,0,18.1,12.2,97,36,8.3,4.3
2000-05-30,0,0,17.7,12.2,97,36,5.8,2.2
2000-05-31,43,0,17.3,12.2,85,35,6.5,4.4
2000-06-01,0,0,16.6,11.4,85,32,8.3,6.1
2000-06-02,10,0,17.4,14.8,90,47,10.4,7.1
2000-06-03,29,0,17.7,13.1,98,39,4.7,1.9
2000-06-04,81,0,17.5,13.0,97,38,9.7,6.2
2000-06-05,31,0,17.8,12.7,97,36,13.3,8.0
2000-06-06,100,0,18.5,12.0,95,31,14.4,9.7
2000-06-07,99,4,18.5,12.1,84,43,16.2,8.9
2000-06-08,97,2,16.3,11.5,82,43,6.8,4.6
2000-06-09,90,0,17.2,14.5,93,41,5.8,1.5
2000-06-10,98,0,18.8,14.1,91,40,20.2,9.8
2000-06-11,76,0,13.8,10.8,72,39,31.3,17.1
2000-06-12,73,0,16.6,11.1,81,37,12.6,6.5
2000-06-13,9,0,17.9,14.0,90,47,13.3,8.3
2000-06-14,41,0,18.7,15.4,95,50,18.7,11.1
