date,cloud_cover_max (%),cloud_cover_min (%),dew_point_2m_max (°C),dew_point_2m_min (°C),relative_humidity_2m_max (%),relative_humidity_2m_min (%),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h),weather_code,temperature_2m_max  (°C),temperature_2m_min  (°C),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (mm),precipitation_hours (hour),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h)
2000-01-01,89,2,5.8,2.6,86,60,16.2,8.6,51.0,12.841,6.491,35240.28,29380.857,0.3,0.3,0.0,1.0,22.862125,39.239998
2000-01-02,72,6,5.1,2.2,85,49,20.2,11.7,53.0,12.540999,7.541,35278.86,31600.023,2.5,2.5,0.0,6.0,23.177402,44.639996
2000-01-03,47,24,7.0,3.4,81,63,19.4,10.7,3.0,13.891,8.540999,35320.746,31651.047,0.0,0.0,0.0,0.0,16.055353,29.88
2000-01-04,99,6,5.5,2.4,80,48,14.0,9.7,2.0,14.240999,5.191,35365.832,31703.68,0.0,0.0,0.0,0.0,11.988594,24.84
2000-01-05,62,13,7.3,3.4,90,58,8.6,5.7,2.0,14.341,6.991,35414.023,31757.799,0.0,0.0,0.0,0.0,11.570515,21.24
2000-01-06,72,33,7.3,5.1,93,54,9.7,5.9,3.0,14.240999,7.6410003,35465.23,31813.277,0.0,0.0,0.0,0.0,12.397806,22.68
2000-01-07,92,48,8.8,6.1,94,59,11.5,7.4,51.0,14.091,7.3910003,35519.35,28885.824,0.5,0.5,0.0,2.0,7.289445,15.84
2000-01-08,96,22,10.1,6.7,96,74,9.0,2.2,2.0,14.941,5.1410003,35576.297,31927.795,0.0,0.0,0.0,0.0,10.182337,18.359999
2000-01-09,69,3,6.9,1.1,95,39,13.0,5.4,2.0,14.490999,2.7410002,35635.957,31992.922,0.0,0.0,0.0,0.0,10.028439,16.919998
2000-01-10,72,0,7.0,2.0,95,48,10.4,6.2,51.0,14.341,6.541,35698.25,32046.207,0.5,0.5,0.0,4.0,8.534353,16.919998
2000-01-11,67,17,8.7,5.9,98,57,9.7,4.5,53.0,13.740999,6.341,35763.07,32106.555,0.9,0.9,0.0,2.0,9.793058,20.16
2000-01-12,100,18,9.0,5.6,98,67,9.0,5.9,3.0,13.191,5.191,35830.33,32167.488,0.0,0.0,0.0,0.0,17.287498,29.16
2000-01-13,95,13,7.3,4.6,97,58,11.9,8.6,0.0,13.290999,4.791,35899.926,32233.61,0.0,0.0,0.0,0.0,12.783802,25.199999
2000-01-14,13,0,4.5,2.8,88,49,8.3,6.8,0.0,14.790999,2.891,35971.766,32294.605,0.0,0.0,0.0,0.0,8.766573,17.64
2000-01-15,1,0,5.9,2.4,97,45,7.9,2.5,1.0,15.941,2.191,36045.758,32392.75,0.0,0.0,0.0,0.0,10.086427,14.759999
2000-01-16,25,0,6.9,1.6,96,46,10.8,3.6,2.0,14.441,7.041,36121.805,32401.904,0.0,0.0,0.0,0.0,25.233404,43.56
2000-01-17,58,0,6.4,3.9,92,49,15.5,8.6,3.0,15.141,7.441,36199.824,32441.537,0.0,0.0,0.0,0.0,29.01966,50.76
2000-01-18,90,4,6.2,4.2,89,48,18.0,10.8,51.0,15.441,7.041,36279.855,26107.742,0.90000004,0.90000004,0.0,5.0,22.392464,37.079998
2000-01-19,99,1,8.5,3.9,87,52,19.1,11.1,55.0,12.240999,9.091,36362.777,21174.5,6.799999,6.799999,0.0,17.0,26.368616,40.68
2000-01-20,100,58,8.7,6.4,93,68,12.2,6.1,51.0,12.141,5.941,36448.63,30739.139,1.0,1.0,0.0,6.0,10.799999,19.08
2000-01-21,100,0,8.2,2.2,94,51,8.6,5.9,3.0,14.391,5.841,36537.27,31870.584,0.0,0.0,0.0,0.0,16.394829,32.039997
2000-01-22,82,1,5.2,2.1,85,47,11.5,5.9,51.0,15.990999,4.291,36628.535,29894.89,0.1,0.1,0.0,1.0,26.66188,48.239998
2000-01-23,94,0,5.3,2.3,88,41,17.6,11.0,2.0,13.591,6.441,36722.277,32496.363,0.0,0.0,0.0,0.0,22.565422,42.48
2000-01-24,51,0,3.5,0.4,78,41,14.4,8.1,3.0,13.540999,4.8910003,36818.36,32400.0,0.0,0.0,0.0,0.0,15.03835,24.84
2000-01-25,86,20,7.3,2.8,87,49,12.2,2.3,51.0,15.691,6.291,36916.625,32498.586,0.1,0.1,0.0,1.0,13.679999,23.039999
2000-01-26,64,1,10.0,5.6,95,61,6.8,2.1,51.0,14.941,8.740999,37016.934,32400.0,0.5,0.5,0.0,4.0,11.542478,20.880001
2000-01-27,84,0,10.0,8.1,96,69,10.8,5.3,3.0,17.291,8.641,37119.145,29532.13,0.0,0.0,0.0,0.0,20.60823,35.28
2000-01-28,100,0,9.5,7.6,99,54,12.2,7.0,3.0,17.241,5.1410003,37223.113,32667.273,0.0,0.0,0.0,0.0,11.183201,21.96
2000-01-29,94,0,9.4,4.2,95,54,10.1,5.1,3.0,17.691,8.790999,37328.707,32571.51,0.0,0.0,0.0,0.0,22.380884,39.239998
2000-01-30,100,0,8.3,5.9,92,46,21.6,11.5,2.0,17.541,9.740999,37435.793,32904.613,0.0,0.0,0.0,0.0,14.986553,29.16
2000-01-31,51,3,10.0,6.3,87,55,7.9,2.2,3.0,20.441,4.791,37544.234,32813.473,0.0,0.0,0.0,0.0,9.346143,16.199999
2000-02-01,99,0,10.4,4.3,97,37,9.0,1.0,3.0,20.341,5.791,37653.902,32742.254,0.0,0.0,0.0,0.0,8.350138,11.879999
2000-02-02,100,0,10.1,5.6,99,40,6.8,1.5,3.0,18.341,9.191,37764.668,32922.477,0.0,0.0,0.0,0.0,20.61766,37.079998
2000-02-03,96,0,10.3,6.3,84,56,11.5,7.2,51.0,16.341,11.540999,37876.406,32946.754,0.2,0.2,0.0,2.0,30.500309,55.8
