date,year,month,day,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s),sunshine_duration (s),cloud_cover_min (%),cloud_cover_max (%),dew_point_2m_min (°C),relative_humidity_2m_max (%),relative_humidity_2m_min (%),rain_sum (mm),precipitation_hours (h),wind_gusts_10m_max (km/h),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h),pressure_msl_max (hPa),pressure_msl_min (hPa),soil_moisture_0_to_100cm_mean (m³/m³),et0_fao_evapotranspiration_sum (mm),temp_range,wind_gust_range,avg_wind_speed,wind_variability,humidity_range,dew_point_range,sunshine_ratio,rain_today,pressure_range,daylight_to_sunshine_ratio,weather_condition
2000-01-01,2000,1,1,15.7,8.1,35585.817,31503.34,2,89,2.7,86,60,1.9,5.0,28.8,16.2,8.6,1025.1,1022.0,0.232,1.88,7.6,12.600000000000001,11.7,6.200000000000001,26,5.1,0.8852779746492823,1,3.0,1.129552848909071,Light Drizzle 🌦
2000-01-02,2000,1,2,15.7,8.1,35585.817,29380.86,6,72,2.7,85,49,0.3,1.0,39.2,20.2,11.7,1025.9,1022.0,0.232,1.88,7.6,19.000000000000004,17.299999999999997,11.2,36,5.1,0.8256339878328492,1,3.7999999999999545,1.2111492260871164,Light Drizzle 🌦
2000-01-03,2000,1,3,15.7,8.1,35585.817,31600.02,18,47,3.2,81,63,1.9,5.0,44.6,19.4,10.7,1025.9,1022.0,0.232,1.88,7.6,25.200000000000003,16.95,12.5,18,4.6,0.8879947873614928,1,3.7999999999999545,1.1260971006632066,Moderate Drizzle 🌧
2000-01-04,2000,1,4,15.7,8.4,35585.817,31651.05,6,99,2.7,80,48,0.0,0.0,29.9,14.0,9.7,1025.9,1022.0,0.232,1.96,7.299999999999999,15.899999999999999,12.9,6.400000000000002,32,5.1,0.8894287856310843,0,3.7999999999999545,1.1242815868166518,Cloudy ☁️
2000-01-05,2000,1,5,15.7,8.1,35585.817,31703.68,13,62,3.2,90,58,0.0,0.0,26.3,8.6,5.7,1025.9,1022.0,0.232,1.88,7.6,17.700000000000003,9.85,8.3,32,4.6,0.8909077456336044,0,3.7999999999999545,1.1224152711839388,Partly Cloudy ⛅
2000-01-06,2000,1,6,15.7,8.1,35585.817,31757.8,18,72,5.0,93,54,0.0,0.0,26.3,9.7,5.9,1025.3,1022.0,0.232,1.88,7.6,16.6,9.95,8.1,39,2.8,0.8924285762499143,0,3.2000000000000455,1.1205025693666009,Partly Cloudy ⛅
2000-01-07,2000,1,7,15.7,8.1,35585.817,31813.28,18,92,5.9,94,59,0.0,0.0,26.3,11.5,7.4,1025.9,1022.0,0.232,1.88,7.6,14.8,10.7,6.6,35,2.799999999999999,0.8939876243392134,0,3.7999999999999545,1.1185485574402438,Cloudy ☁️
2000-01-08,2000,1,8,15.7,8.1,35585.817,28885.82,18,96,6.5,96,63,0.5,2.0,26.3,9.0,2.2,1025.9,1022.0,0.232,1.88,7.6,17.3,8.1,11.8,33,3.5,0.8117228276647407,1,3.7999999999999545,1.2319049656556174,Light Drizzle 🌦
2000-01-09,2000,1,9,15.7,8.1,35585.817,31927.79,3,69,2.7,95,39,0.0,0.0,26.3,13.0,5.4,1024.4,1021.4,0.232,1.88,7.6,13.3,9.7,8.6,56,5.1,0.8972054793627472,0,2.8999999999999773,1.1145369743106457,Partly Cloudy ⛅
2000-01-10,2000,1,10,15.7,8.1,35635.96,31992.92,0,72,2.7,95,48,0.0,0.0,26.3,10.4,6.2,1025.9,1022.0,0.232,1.88,7.6,15.9,10.1,7.8,47,5.1,0.8977706788311581,0,3.7999999999999545,1.1138353787219573,Partly Cloudy ⛅
2000-01-11,2000,1,11,15.7,8.1,35698.25,32046.21,17,67,5.8,97,57,0.5,4.0,26.3,9.7,4.5,1025.9,1022.0,0.232,1.88,7.6,16.6,9.25,9.5,40,2.8,0.897696945928722,1,3.7999999999999545,1.11392692218761,Light Drizzle 🌦
2000-01-12,2000,1,12,15.7,8.1,35763.07,32106.55,18,100,5.5,97,63,0.9,2.0,26.3,9.0,5.9,1025.9,1022.0,0.232,1.88,7.6,17.3,9.95,8.1,34,3.3000000000000007,0.8977570997120773,1,3.7999999999999545,1.113852349369541,Moderate Drizzle 🌧
2000-01-13,2000,1,13,15.7,8.1,35830.33,32167.49,13,95,4.5,97,58,0.0,0.0,29.2,11.9,8.6,1023.1,1016.8,0.232,1.88,7.6,17.299999999999997,12.95,8.700000000000001,39,3.3,0.8977726412232319,0,6.2000000000000455,1.1138331329819957,Cloudy ☁️
2000-01-14,2000,1,14,15.7,8.1,35899.93,32233.61,0,13,2.7,88,49,0.0,0.0,26.3,8.3,6.8,1017.8,1014.4,0.231,1.88,7.6,18.0,10.4,7.2,39,5.1,0.897873895575841,0,3.300000000000068,1.1137075956557254,Clear Sky ☀️
2000-01-15,2000,1,15,15.7,8.1,35971.77,32294.61,0,9,2.7,97,45,0.0,0.0,26.3,7.9,2.5,1021.7,1017.5,0.231,1.88,7.6,18.4,8.25,11.5,52,5.1,0.8977765064104436,0,4.2000000000000455,1.1138284739009419,Clear Sky ☀️
2000-01-16,2000,1,16,15.8,8.1,36045.76,32392.75,0,25,2.7,96,46,0.0,0.0,26.3,10.8,3.6,1022.7,1020.6,0.23,1.88,7.700000000000001,15.5,8.8,10.4,50,5.1,0.8986563190788597,0,2.1000000000000227,1.1127381053443952,Mainly Clear 🌤
2000-01-17,2000,1,17,15.7,8.1,36121.8,32401.9,0,58,3.8,92,49,0.0,0.0,43.6,15.5,8.6,1022.1,1017.9,0.229,1.96,7.6,28.1,16.9,16.6,43,4.0,0.8970178673266559,0,4.100000000000023,1.1147705915211292,Partly Cloudy ⛅
2000-01-18,2000,1,18,15.7,8.1,36199.82,32441.54,4,90,4.1,89,48,0.0,0.0,50.8,18.0,10.8,1020.0,1013.4,0.228,1.96,7.6,32.8,19.9,18.2,41,3.7,0.896179594263176,0,6.5,1.1158133734288376,Cloudy ☁️
