date,year,month,day,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s),sunshine_duration (s),cloud_cover_min (%),cloud_cover_max (%),dew_point_2m_max (°C),dew_point_2m_min (°C),relative_humidity_2m_max (%),relative_humidity_2m_min (%),rain_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h),surface_pressure_max (hPa),surface_pressure_min (hPa),pressure_msl_max (hPa),pressure_msl_min (hPa),wet_bulb_temperature_2m_max (°C),wet_bulb_temperature_2m_min (°C),soil_moisture_0_to_100cm_mean (m³/m³),soil_temperature_0_to_100cm_mean (°C),et0_fao_evapotranspiration_sum (mm),weather_condition
2000-01-01,2000,1,1,11.4,5.0,35205.09,31503.34,2,89,5.6,2.5,86,60,1.9,8.0,14.8,28.8,16.2,8.6,1021.5,1019.3,1025.1,1022.9,7.3,3.4,0.234,13.0,1.35,Light Drizzle 🌦
2000-01-02,2000,1,2,12.7,6.3,35240.28,29380.86,6,72,5.0,2.0,85,49,0.3,1.0,22.9,39.2,20.2,11.7,1023.6,1021.2,1027.2,1024.8,7.5,4.7,0.235,12.9,1.83,Light Drizzle 🌦
2000-01-03,2000,1,3,12.4,7.4,35278.86,31600.02,24,47,6.8,3.2,81,63,2.5,6.0,23.2,44.6,19.4,10.7,1024.9,1022.7,1028.5,1026.3,8.7,5.3,0.235,12.9,1.63,Moderate Drizzle 🌧
2000-01-04,2000,1,4,13.7,8.4,35320.75,31651.05,6,99,5.4,2.3,80,48,0.0,0.0,16.1,29.9,14.0,9.7,1026.3,1023.9,1029.9,1027.5,8.1,5.1,0.236,12.9,1.96,Cloudy ☁️
2000-01-05,2000,1,5,14.1,5.0,35365.83,31703.68,13,62,7.1,3.2,90,58,0.0,0.0,12.0,24.8,8.6,5.7,1024.7,1020.5,1028.3,1024.1,9.5,3.9,0.234,12.7,1.52,Partly Cloudy ⛅
2000-01-06,2000,1,6,14.2,6.8,35414.02,31757.8,33,72,7.1,5.0,93,54,0.0,0.0,11.6,21.2,9.7,5.9,1021.7,1020.4,1025.3,1023.9,9.2,6.0,0.234,12.7,1.4,Partly Cloudy ⛅
2000-01-07,2000,1,7,14.1,7.5,35465.23,31813.28,48,92,8.7,5.9,94,59,0.0,0.0,12.4,22.7,11.5,7.4,1022.8,1020.6,1026.4,1024.1,9.5,6.4,0.233,12.8,1.29,Cloudy ☁️
2000-01-08,2000,1,8,13.9,7.2,35519.35,28885.82,22,96,10.0,6.5,96,74,0.5,2.0,7.3,15.8,9.0,2.2,1022.6,1020.4,1026.1,1024.0,11.2,6.7,0.233,12.9,1.06,Light Drizzle 🌦
2000-01-09,2000,1,9,14.8,5.0,35576.3,31927.79,3,69,6.7,0.9,95,39,0.0,0.0,10.2,18.4,13.0,5.4,1020.8,1017.9,1024.4,1021.4,8.2,4.0,0.233,12.7,1.75,Partly Cloudy ⛅
2000-01-10,2000,1,10,14.3,2.6,35635.96,31992.92,0,72,6.8,1.9,95,48,0.0,0.0,10.0,16.9,10.4,6.2,1022.7,1019.3,1026.3,1022.9,8.8,2.0,0.232,12.5,1.6,Partly Cloudy ⛅
2000-01-11,2000,1,11,14.2,6.4,35698.25,32046.21,17,67,8.6,5.8,98,57,0.5,4.0,8.5,16.9,9.7,4.5,1025.4,1022.6,1029.0,1026.2,9.8,6.1,0.232,12.5,1.4,Light Drizzle 🌦
2000-01-12,2000,1,12,13.6,6.2,35763.07,32106.55,18,100,8.8,5.5,98,67,0.9,2.0,9.8,20.2,9.0,5.9,1024.5,1020.0,1028.1,1023.6,10.3,5.7,0.232,12.5,1.3,Moderate Drizzle 🌧
2000-01-13,2000,1,13,13.0,5.0,35830.33,32167.49,13,95,7.2,4.5,97,58,0.0,0.0,17.3,29.2,11.9,8.6,1019.5,1013.3,1023.1,1016.8,8.6,4.6,0.232,12.4,1.57,Cloudy ☁️
2000-01-14,2000,1,14,13.1,4.6,35899.93,32233.61,0,13,4.3,2.6,88,49,0.0,0.0,12.8,25.2,8.3,6.8,1014.2,1010.9,1017.8,1014.4,7.8,3.5,0.231,12.2,1.75,Clear Sky ☀️
2000-01-15,2000,1,15,14.6,2.7,35971.77,32294.61,0,1,5.8,2.2,97,45,0.0,0.0,8.8,17.6,7.9,2.5,1018.1,1013.9,1021.7,1017.5,8.6,2.3,0.231,12.0,1.71,Clear Sky ☀️
2000-01-16,2000,1,16,15.8,2.0,36045.76,32392.75,0,25,6.8,1.4,96,46,0.0,0.0,10.1,14.8,10.8,3.6,1019.2,1017.1,1022.7,1020.6,9.6,1.6,0.23,11.9,1.78,Mainly Clear 🌤
2000-01-17,2000,1,17,14.3,6.9,36121.8,32401.9,0,58,6.2,3.8,92,49,0.0,0.0,25.2,43.6,15.5,8.6,1018.5,1014.4,1022.1,1017.9,8.8,5.7,0.229,12.0,1.96,Partly Cloudy ⛅
2000-01-18,2000,1,18,15.0,7.3,36199.82,32441.54,4,90,6.1,4.1,89,48,0.0,0.0,29.0,50.8,18.0,10.8,1016.4,1009.9,1020.0,1013.4,9.2,5.5,0.228,12.2,1.96,Cloudy ☁️
2000-01-19,2000,1,19,15.3,6.9,36279.86,26107.74,1,99,8.4,3.7,87,52,0.9,5.0,22.4,37.1,19.1,11.1,1012.9,1008.2,1016.4,1011.8,10.1,5.0,0.227,12.2,1.86,Light Drizzle 🌦
2000-01-20,2000,1,20,12.1,8.9,36362.78,21174.5,58,100,8.6,6.2,93,68,6.8,17.0,26.4,40.7,12.2,6.1,1023.5,1013.4,1027.1,1016.9,9.2,8.0,0.23,12.3,1.13,Heavy Drizzle 🌧
2000-01-21,2000,1,21,12.0,5.8,36448.63,30739.14,0,100,8.0,2.1,94,51,1.0,6.0,10.8,19.1,8.6,5.9,1023.3,1018.7,1026.9,1022.2,8.3,4.5,0.234,12.2,1.24,Light Drizzle 🌦
2000-01-22,2000,1,22,14.2,5.7,36537.27,31870.58,1,82,5.1,1.9,85,47,0.0,0.0,16.4,32.0,11.5,5.9,1018.8,1013.8,1022.4,1017.4,8.7,3.5,0.234,11.9,1.78,Cloudy ☁️
2000-01-23,2000,1,23,15.8,4.1,36628.54,29894.89,0,94,5.1,2.2,88,41,0.1,1.0,26.7,48.2,17.6,11.0,1013.3,1006.7,1016.9,1010.2,9.1,3.0,0.232,11.9,2.29,Light Drizzle 🌦
2000-01-24,2000,1,24,13.4,6.3,36722.28,32496.36,0,51,3.3,0.3,78,41,0.0,0.0,22.6,42.5,14.4,8.1,1015.2,1009.9,1018.8,1013.5,7.3,3.6,0.232,12.0,2.44,Partly Cloudy ⛅
2000-01-25,2000,1,25,13.4,4.7,36818.36,32400.0,20,86,7.2,2.7,87,49,0.0,0.0,15.0,24.8,12.2,2.3,1018.8,1014.8,1022.4,1018.4,8.0,3.5,0.231,11.9,1.75,Cloudy ☁️
2000-01-26,2000,1,26,15.5,6.1,36916.62,32498.59,1,64,9.8,5.4,95,61,0.1,1.0,13.7,23.0,6.8,2.1,1025.0,1018.5,1028.6,1022.1,11.1,5.6,0.23,12.1,1.65,Light Drizzle 🌦
2000-01-27,2000,1,27,14.8,8.6,37016.93,32400.0,0,84,9.9,8.0,96,69,0.5,4.0,11.5,20.9,10.8,5.3,1029.3,1025.2,1032.9,1028.8,11.3,8.1,0.23,12.4,1.46,Light Drizzle 🌦
2000-01-28,2000,1,28,17.1,8.5,37119.14,29532.13,0,100,9.3,7.5,99,54,0.0,0.0,20.6,35.3,12.2,7.0,1028.0,1020.6,1031.6,1024.2,11.8,8.2,0.23,12.5,1.77,Cloudy ☁️
2000-01-29,2000,1,29,17.1,5.0,37223.11,32667.27,0,94,9.3,4.1,95,54,0.0,0.0,11.2,22.0,10.1,5.1,1023.6,1018.9,1027.2,1022.5,11.8,4.3,0.229,12.6,1.89,Cloudy ☁️
2000-01-30,2000,1,30,17.5,8.6,37328.71,32571.51,0,100,8.1,5.7,92,46,0.0,0.0,22.4,39.2,21.6,11.5,1025.8,1023.3,1029.4,1026.9,11.1,7.7,0.228,12.8,2.44,Cloudy ☁️
2000-01-31,2000,1,31,17.4,9.6,37435.79,32904.61,3,51,9.9,6.1,87,55,0.0,0.0,15.0,29.2,7.9,2.2,1029.7,1026.3,1033.2,1029.9,12.0,7.8,0.226,13.0,2.06,Partly Cloudy ⛅
2000-02-01,2000,2,1,20.3,4.6,37544.23,32813.47,0,99,10.2,4.1,97,37,0.0,0.0,9.3,16.2,9.0,1.0,1028.2,1025.1,1031.8,1028.6,12.7,4.2,0.225,13.0,2.23,Cloudy ☁️
2000-02-02,2000,2,2,20.2,5.6,37653.9,32742.25,0,100,9.9,5.5,99,40,0.0,0.0,8.4,11.9,6.8,1.5,1025.9,1020.6,1029.5,1024.1,12.8,5.4,0.224,13.1,2.11,Cloudy ☁️
2000-02-03,2000,2,3,18.2,9.0,37764.67,32922.48,0,96,10.2,6.1,84,56,0.0,0.0,20.6,37.1,11.5,7.2,1022.7,1019.0,1026.3,1022.5,13.1,7.3,0.223,13.3,2.11,Cloudy ☁️
2000-02-04,2000,2,4,16.2,11.4,37876.41,32946.75,2,78,10.4,5.2,90,62,0.2,2.0,30.5,55.8,29.5,15.8,1029.7,1022.1,1033.3,1025.7,11.8,7.9,0.223,13.6,2.4,Light Drizzle 🌦
2000-02-05,2000,2,5,14.3,8.7,37989.0,33982.47,3,33,4.4,2.1,74,44,0.0,0.0,22.6,37.8,14.8,9.7,1032.0,1030.1,1035.6,1033.7,8.1,6.1,0.222,13.5,2.99,Mainly Clear 🌤
2000-02-06,2000,2,6,14.6,5.6,38102.32,33925.99,0,42,5.8,4.1,92,50,0.0,0.0,10.1,21.2,7.6,1.5,1031.2,1026.2,1034.8,1029.8,9.0,4.8,0.221,13.2,1.95,Mainly Clear 🌤
2000-02-07,2000,2,7,16.0,3.9,38216.24,34453.0,0,19,7.5,3.5,97,48,0.0,0.0,10.0,22.3,9.4,3.4,1026.3,1022.4,1029.9,1025.9,10.1,3.6,0.22,13.0,2.15,Clear Sky ☀️
2000-02-08,2000,2,8,16.6,8.0,38330.82,30757.22,3,100,7.4,4.2,93,44,0.0,0.0,26.1,47.9,14.8,8.4,1024.6,1021.8,1028.1,1025.3,10.3,7.1,0.219,13.2,2.26,Cloudy ☁️
2000-02-09,2000,2,9,19.6,10.4,38447.16,33913.88,0,100,7.3,2.7,74,44,0.0,0.0,29.8,48.2,14.4,9.7,1022.8,1016.2,1026.4,1019.7,12.6,7.5,0.218,13.6,3.4,Cloudy ☁️
2000-02-10,2000,2,10,13.5,10.5,38565.35,33076.54,5,88,5.8,0.4,72,45,1.3,4.0,39.8,76.3,46.1,27.0,1017.4,1014.5,1020.9,1018.0,8.4,5.9,0.217,13.6,3.38,Moderate Drizzle 🌧
2000-02-11,2000,2,11,14.0,9.6,38685.25,34014.8,2,72,4.6,1.7,71,47,0.0,0.0,34.4,58.0,20.5,11.7,1021.6,1015.7,1025.2,1019.2,8.2,6.2,0.217,13.5,3.15,Partly Cloudy ⛅
2000-02-12,2000,2,12,16.5,5.7,38806.74,34013.75,1,100,7.3,2.9,88,40,0.0,0.0,11.8,20.9,13.3,1.1,1022.3,1019.5,1025.8,1023.0,9.5,4.5,0.216,13.3,2.29,Cloudy ☁️
2000-02-13,2000,2,13,15.3,10.1,38929.66,34301.7,9,96,8.2,3.5,87,45,0.5,2.0,29.8,52.9,12.6,3.6,1021.4,1019.5,1024.9,1023.0,9.1,7.2,0.216,13.5,2.55,Light Drizzle 🌦
2000-02-14,2000,2,14,16.5,10.5,39053.91,33200.73,0,99,7.5,5.2,80,48,0.0,0.0,25.8,47.2,13.3,8.2,1021.3,1018.6,1024.9,1022.1,10.5,7.5,0.215,13.6,2.56,Cloudy ☁️
2000-02-15,2000,2,15,18.3,8.2,39179.34,34232.06,0,96,7.6,5.0,90,41,0.0,0.0,16.6,33.1,16.6,10.0,1022.9,1020.7,1026.4,1024.2,11.2,7.2,0.214,13.7,2.63,Cloudy ☁️
2000-02-16,2000,2,16,21.6,9.3,39305.84,36221.53,0,91,7.4,2.4,82,30,0.0,0.0,17.0,31.0,11.5,5.8,1021.6,1012.0,1025.2,1015.5,12.0,7.3,0.213,13.9,3.32,Cloudy ☁️
2000-02-17,2000,2,17,15.9,11.8,39433.29,35775.43,1,99,7.6,1.4,70,39,1.5,3.0,27.9,51.1,16.6,9.4,1013.1,1009.8,1016.6,1013.3,10.1,7.1,0.212,14.0,2.78,Heavy Drizzle 🌧
