date,weather_code,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s),sunshine_duration (s),rain_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),cape_max (undefined),cape_min (undefined),cloud_cover_max (%),cloud_cover_min (%),dew_point_2m_max (°C),dew_point_2m_min (°C),et0_fao_evapotranspiration_sum (mm),relative_humidity_2m_max (%),relative_humidity_2m_min (%),pressure_msl_max (hPa),pressure_msl_min (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),visibility_min (undefined),visibility_max (undefined),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h),wet_bulb_temperature_2m_min (°C),wet_bulb_temperature_2m_max (°C),soil_moisture_0_to_100cm_mean (m³/m³),soil_temperature_0_to_100cm_mean (°C)
2000-01-01,51,11.4,5.0,35205.09,31503.34,1.90,8.0,14.8,28.8,NaN,NaN,89,2,5.6,2.5,1.35,86,60,1025.1,1022.9,1021.5,1019.3,NaN,NaN,16.2,8.6,3.4,7.3,0.234,13.0
2000-01-02,51,12.7,6.3,35240.28,29380.86,0.30,1.0,22.9,39.2,NaN,NaN,72,6,5.0,2.0,1.83,85,49,1027.2,1024.8,1023.6,1021.2,NaN,NaN,20.2,11.7,4.7,7.5,0.235,12.9
2000-01-03,53,12.4,7.4,35278.86,31600.02,2.50,6.0,23.2,44.6,NaN,NaN,47,24,6.8,3.2,1.63,81,63,1028.5,1026.3,1024.9,1022.7,NaN,NaN,19.4,10.7,5.3,8.7,0.235,12.9
2000-01-04,3,13.7,8.4,35320.75,31651.05,0.00,0.0,16.1,29.9,NaN,NaN,99,6,5.4,2.3,1.96,80,48,1029.9,1027.5,1026.3,1023.9,NaN,NaN,14.0,9.7,5.1,8.1,0.236,12.9
2000-01-05,2,14.1,5.0,35365.83,31703.68,0.00,0.0,12.0,24.8,NaN,NaN,62,13,7.1,3.2,1.52,90,58,1028.3,1024.1,1024.7,1020.5,NaN,NaN,8.6,5.7,3.9,9.5,0.234,12.7
2000-01-06,2,14.2,6.8,35414.02,31757.80,0.00,0.0,11.6,21.2,NaN,NaN,72,33,7.1,5.0,1.40,93,54,1025.3,1023.9,1021.7,1020.4,NaN,NaN,9.7,5.9,6.0,9.2,0.234,12.7
2000-01-07,3,14.1,7.5,35465.23,31813.28,0.00,0.0,12.4,22.7,NaN,NaN,92,48,8.7,5.9,1.29,94,59,1026.4,1024.1,1022.8,1020.6,NaN,NaN,11.5,7.4,6.4,9.5,0.233,12.8
2000-01-08,51,13.9,7.2,35519.35,28885.82,0.50,2.0,7.3,15.8,NaN,NaN,96,22,10.0,6.5,1.06,96,74,1026.1,1024.0,1022.6,1020.4,NaN,NaN,9.0,2.2,6.7,11.2,0.233,12.9
2000-01-09,2,14.8,5.0,35576.30,31927.79,0.00,0.0,10.2,18.4,NaN,NaN,69,3,6.7,0.9,1.75,95,39,1024.4,1021.4,1020.8,1017.9,NaN,NaN,13.0,5.4,4.0,8.2,0.233,12.7
2000-01-10,2,14.3,2.6,35635.96,31992.92,0.00,0.0,10.0,16.9,NaN,NaN,72,0,6.8,1.9,1.60,95,48,1026.3,1022.9,1022.7,1019.3,NaN,NaN,10.4,6.2,2.0,8.8,0.232,12.5
2000-01-11,51,14.2,6.4,35698.25,32046.21,0.50,4.0,8.5,16.9,NaN,NaN,67,17,8.6,5.8,1.40,98,57,1029.0,1026.2,1025.4,1022.6,NaN,NaN,9.7,4.5,6.1,9.8,0.232,12.5
2000-01-12,53,13.6,6.2,35763.07,32106.55,0.90,2.0,9.8,20.2,NaN,NaN,100,18,8.8,5.5,1.30,98,67,1028.1,1023.6,1024.5,1020.0,NaN,NaN,9.0,5.9,5.7,10.3,0.232,12.5
2000-01-13,3,13.0,5.0,35830.33,32167.49,0.00,0.0,17.3,29.2,NaN,NaN,95,13,7.2,4.5,1.57,97,58,1023.1,1016.8,1019.5,1013.3,NaN,NaN,11.9,8.6,4.6,8.6,0.232,12.4
2000-01-14,0,13.1,4.6,35899.93,32233.61,0.00,0.0,12.8,25.2,NaN,NaN,13,0,4.3,2.6,1.75,88,49,1017.8,1014.4,1014.2,1010.9,NaN,NaN,8.3,6.8,3.5,7.8,0.231,12.2
2000-01-15,0,14.6,2.7,35971.77,32294.61,0.00,0.0,8.8,17.6,NaN,NaN,1,0,5.8,2.2,1.71,97,45,1021.7,1017.5,1018.1,1013.9,NaN,NaN,7.9,2.5,2.3,8.6,0.231,12.0
2000-01-16,1,15.8,2.0,36045.76,32392.75,0.00,0.0,10.1,14.8,NaN,NaN,25,0,6.8,1.4,1.78,96,46,1022.7,1020.6,1019.2,1017.1,NaN,NaN,10.8,3.6,1.6,9.6,0.230,11.9
2000-01-17,2,14.3,6.9,36121.80,32401.90,0.00,0.0,25.2,43.6,NaN,NaN,58,0,6.2,3.8,1.96,92,49,1022.1,1017.9,1018.5,1014.4,NaN,NaN,15.5,8.6,5.7,8.8,0.229,12.0
2000-01-18,3,15.0,7.3,36199.82,32441.54,0.00,0.0,29.0,50.8,NaN,NaN,90,4,6.1,4.1,1.96,89,48,1020.0,1013.4,1016.4,1009.9,NaN,NaN,18.0,10.8,5.5,9.2,0.228,12.2
2000-01-19,51,15.3,6.9,36279.86,26107.74,0.90,5.0,22.4,37.1,NaN,NaN,99,1,8.4,3.7,1.86,87,52,1016.4,1011.8,1012.9,1008.2,NaN,NaN,19.1,11.1,5.0,10.1,0.227,12.2
2000-01-20,55,12.1,8.9,36362.78,21174.50,6.80,17.0,26.4,40.7,NaN,NaN,100,58,8.6,6.2,1.13,93,68,1027.1,1016.9,1023.5,1013.4,NaN,NaN,12.2,6.1,8.0,9.2,0.230,12.3
2000-01-21,51,12.0,5.8,36448.63,30739.14,1.00,6.0,10.8,19.1,NaN,NaN,100,0,8.0,2.1,1.24,94,51,1026.9,1022.2,1023.3,1018.7,NaN,NaN,8.6,5.9,4.5,8.3,0.234,12.2
2000-01-22,3,14.2,5.7,36537.27,31870.58,0.00,0.0,16.4,32.0,NaN,NaN,82,1,5.1,1.9,1.78,85,47,1022.4,1017.4,1018.8,1013.8,NaN,NaN,11.5,5.9,3.5,8.7,0.234,11.9
2000-01-23,51,15.8,4.1,36628.54,29894.89,0.10,1.0,26.7,48.2,NaN,NaN,94,0,5.1,2.2,2.29,88,41,1016.9,1010.2,1013.3,1006.7,NaN,NaN,17.6,11.0,3.0,9.1,0.232,11.9
2000-01-24,2,13.4,6.3,36722.28,32496.36,0.00,0.0,22.6,42.5,NaN,NaN,51,0,3.3,0.3,2.44,78,41,1018.8,1013.5,1015.2,1009.9,NaN,NaN,14.4,8.1,3.6,7.3,0.232,12.0
2000-01-25,3,13.4,4.7,36818.36,32400.00,0.00,0.0,15.0,24.8,NaN,NaN,86,20,7.2,2.7,1.75,87,49,1022.4,1018.4,1018.8,1014.8,NaN,NaN,12.2,2.3,3.5,8.0,0.231,11.9
